Question,Answer,Explanation
Acanthocytes are seen in,Ans. (a) G6PD deficiency,(Ref: Wintrobes 13/p 2089)   The peripheral blood smear IN G6PD def contains  spherocytes and eccentrocytes or ?blister? cells. Chapter 10 ? Red Blood Cells and its Disorders 303 Answers with Explanations 43.
Blister cells seen in which condition,Ans. (a) I,(Ref: Robbins 9th/pg 643) 44.
Cold agglutinins are directly against which of the following RBC antigens,Ans. (a) Cold AIHA The given figure is of RBC agglutination. The history is  suggestive of agglutination occurring in the month of  December that is cold induced. Cold Agglutinin Type.  This form of immunohemolytic anemia is caused  by IgM antibodies that bind red cells avidly at low  temperatures (0¯?4¯C). 45.,No explanation provided.
A 25-year-old female presented in December month with chronic fatigue and cyanosis with bluish lips and arthralgia. Peripheral blood film is shown below. What is the likely cause,Ans. (d) Decreased reticulocyte 46.,No explanation provided.
All of the following statement is true regarding hemolytic anemia except,Ans. (b) Increased direct bilirubin   Increased indirect bilirubin and not direct bilirubin are the  findings in hemolytic anemia MCV % S % A % A2 % F AS N 35?38 62?65 < 3.5 <1 SS N 88?93 0 <3.5 5?10 S/?¯  thalassaemia L 88?93 0 >3.5 5?10 47.,No explanation provided.
Which of the following is absent in hemolytic anemia,Ans. (d) HbA2 is increased,"(Ref: Practical hematology by Dacie 11th ed/ pg 312) In sickle cell anema, HbA2 is decreased and not increased. 48."
True about sickle cell anemia is,Ans. (c) Aplastic anemia,(Ref: Wintrobe 13th ed / Page 576) Coomb?s test is positive in Immune hemolytic anemia  ? They can be of 2 types:  É Direct Coomb?s test- Detects Antibody on RBC  SurfaceQ  É Indirect Coomb?s test- Detects Antibody in Serum Out of the given options: Aplastic anemia is not a hemolytic  anemia and so is automatically the answer here. 49.
Direct coomb?s test positive is seen in all except,Ans. (c) Megaloblastic anemia Megaloblastic anemia has a low normal Retic % as it is a  nutritional anemia. 50.,No explanation provided.
Which one of the following is not associated with a high reticulocyte count,Ans. (b) Donor cells have normal survival.,(Ref: Robbins 9th ed. Pg. 631-632) This Question is based on the knowledge that in  intracorpuscular defect of RBCs the defect lies in the RBCs  itself and not in spleen or vessels and so any erythrocytes  (blood ? group matched) are transfused into a patient will  not be destroyed. Hence the answer is donor cells have  normal survival. 51.
What happens when normal erythrocytes,Ans. (a) 2 ‡ + 2 ?,(Ref: Robbins 9th/pg 638-642) 52.
Adult hemoglobin consists of the following chains,Ans. (d) Penicillin,(Ref: Robbins 9th/pg 644-645) Penicillin causes hemolysis by mechanism of autoimmune  hemolytic anemia and not G6PD deficiency mediated. 53.
Haemolysis in G6PD,Ans. (d) CLL is an important cause 54.,No explanation provided.
"Warm antibody autoimmune hemolytic anemia, true is","Ans. (a) Hereditary spherocytosis This is a case of anemia (fatigue), splenomegaly  (abdominal pain) with jaundice and gall stones since birth.  These findings suggest a inherited causes of extravascular  hemolysis. The best option is Hereditary spherocytosis. 55.",No explanation provided.
A 21-year-old male presents with complaints of fatigue and abdominal pain since birth. O/E jaundice and splenomegaly present. On USG gall stones are seen. What is your diagnosis,Ans. (d) Aplastic anemia,(Ref: Robbins 9th/pg 653) 56.
Fanconi anemia can lead to,Ans. (a) Older red cells,"(Ref: Robbins 9th/pg 634; 8th/  pg 644) Because mature red cells do not synthesize new proteins,  G6PD? or G6PD Mediterranean enzyme activities fall  quickly to levels inadequate to protect against oxidant  stress as red cells age. Thus, older red cells are much more  prone to hemolysis than younger ones. 57."
In G6PD deficiency which cells are more prone for hemolysis,Ans. (b) Ankyrin,(Ref: Robbins 9th/pg 632; 8th/pg 642) Most common mutation:  ? Hereditary spherocytosis is Ankyrin>Band-3>spectrin  ? Hereditary elliptocytosis is Spectrin 58.
Most common mutation in hereditary spherocytosis,Ans. (a) Spectrin,(Ref: Robbins 9th/pg 632; 8th/pg 642) 59.
Most common mutation in hereditary elliptocytosis,Ans. (c) Quinidine,(Ref: Robbins 9th/pg 634-635) Quinidine do not carry risk of hemolysis in persons with  G-6-PD deficiency 60.
Drug that is safe in G6PD deficiency,Ans. (a) Plasmodium vivax,"(Ref: Harrison 18th/pg 1014) Duffy  antigen/chemokine  receptor  (DARC),  also  known as Fy glycoprotein (FY) or CD234 (Cluster of  Differentiation 234)  ? Duffy antigen is located on the surface of RBCs, and is  named after the patient in which it was discovered.   ? glycosylated membrane protein and a non-specific  receptor for several chemokines.   ? The protein is also the receptor for the human malarial  parasites Plasmodium vivax and Plasmodium knowlesi.  ? Polymorphisms in this gene are the basis of the Duffy  blood group system 61."
Duffy antigen is associates with,Ans. (a) Spectrin,(Ref: Robbins 9th/pg 632; 8th/pg 642) 62.
"In hereditary spherocytosis, which gene is altered",Ans. (b) Incomplete Antibody,"(Ref: Wintrobes 12th/ed pg 959) IgM-coated  RBCs  may  spontaneously  agglutinate  because the pentameric antibody can cross-link RBCs.  The capability for IgM antibodies to agglutinate saline- suspended RBCs without additional reagents has led to  the traditional terminology of ?complete? antibodies.  In contrast, IgG antibodies typically require antihuman  globulin (AHG) to agglutinate saline-suspended RBCs and  are thus termed ?incomplete? antibodies. Now as warm Antibodies are IgG, so they are ?Incomplete  antibodies? Complete Review of Pathology 304 Answers with Explanations 63."
Warm Antibodies are,Ans. (a) Plasmapheresis,(Ref: Robbins 9th/pg 941; 8th/pg 952; Harrison 19th/pg 740-745)   Treatment of Atypical HUS  ? Fresh frozen plasma can induce remission.  ? Plasma exchange may benefit patients with deficiency of  Complement Factor H or Factor I by replenishing the  missing protein or removing the antibodies. 64.
Best treatment of atypical HUS is,Ans. (a) Paraxysmal cold hemoglobinuria,(Ref: Robbins 9th/pg 643; 8th/pg 653) 65.
Direct coomb?s test is positive in hemolytic anemia due to,Ans. (a) Cyclosporine,(Ref: Wintrobes pg 1011) 66.
Not used in the treatment of PNH a. Cyclosporine,Ans. (a) Parvovirus B19 infection,(Ref: Harrison 18th/pg 1478)  ? Aplastic/hypoplastic crises resulting from parvovirus  B19 infection may occur in Hereditary spherocytosis just  as is seen in individuals with other chronic hemolytic  disorders.   ? Parvovirus B19 selectively infects erythroid precursors  and inhibits their growth.   ? Erythropoietic arrest leads to a sudden decrease in  hemoglobin concentration and reticulocytopenia. 67.
Hemolytic crisis in hereditary spherocytosis is precipitated by,Ans. (a) Autoimmune hemolytic anemia,(Ref: 9th/pg  643) 68.
"A 25 year old patient presents with the history of dysp- nea on exertion for 3 weeks. Investigations revealed Hb?7g/dl, reticulocyte count 18% and positive coomb?s test. Diagnosis",Ans. (b) Fetomaternal haemorrhage,"(Ref: Oski?s Pediatrics: Principles & Practice, chapter 66; Dacie  11th/pg 307) APT test for differentiation of fetal & adult (maternal)  hemoglobin in stool or vomitus   ? Mix 1 volume of sample with 5 volumes of water.   ? Centrifuge mixture and remove clear-pink supernatant  solution containing hemoglobin.  ? Mix 1 ml of 1% sodium hydroxide with 4 ml supernatant  and observe color change after 2 minutes.   É Remains pink: Hemoglobin F  É Turns yellow-brown: Hemoglobin A (maternal  blood) A common approach to evaluating FMH is the rosette test  to screen for the presence of fetal cells followed by the  Kleihauer-Betke acid elution method to quantify the  magnitude of feto-maternal bleed. The Kleihauer-Betke acid elution method:  ? Quantitative estimate of the volume of FMH based on  different solubility properties of HbF&HbA.   ? On a peripheral smear treated with an acidic solution  & counterstained, red cells containing acid-soluble HbA  appear as pale ghosts compared to deeply red stained  red cells containing acid-resistant HbF  ? Can also be used to detect HbF containing cells in  ?-thalassemia, hereditary persistence of hemoglobin F,  sickle cell disease &myelodysplastic syndrome.  ? Increased HbF is also found in congenital red cell  aplasia (Blackfan-Diamond syndrome) & congenital  aplastic anemia (Fanconianemia), JMML, presence of  erythropoietic stress (haemolysis, bleeding, recovery  from acute bone marrow failure) and in pregnancy. 69."
Kleiheur Bethke test is done for,Ans. (d) Haptoglobin increased,"(Ref: Robbins 9th/pg 631-632) Haptoglobin   ? A glycoprotein that is synthesized in the liver.   ? It consists of two pairs of ‡chains and two pairs of ?  chains.   ? With hemolysis, free Hb readily dissociates into dimers  of ‡ & ? chains; the ‡ chains bind avidly with the ? chains  of haptoglobin in plasma or serum to form a complex 70."
Features of hemolytic anemia are all except,Ans. (d) Paroxysmal cold hemoglobinuria,"(Ref: Robbins 9th/pg 642; 8th/pg 654) Direct globulin test is positive in Paroxysmal cold  hemoglobinuria, as anti P antibody is formed. 71."
Direct globulin test is positive in,Ans. (c) Thalassemia,(Ref: 9th/pg 631-632) Intra-corpuscular hemolytic anemia is seen in thalassemia 72.
Intracorpuscular hemolytic anemia is seen in-,Ans. (c) Decreased MCHC,"(Ref: 9th/pg 632-633) In hereditary spherocytosis, increased rather than  decreased MCHC is seen 73."
Not true about hereditary spherocytosis-,Ans. (d) Ringed sideroblast,"(Ref: Robbins 9th/pg 635-636) Ring sideroblasts are not seen in sickle cell anemia, but in  Sideroblastic Anemia Peripheral smear finding in sickle cell anemia:  ? Ansiopoikilocytosis, polychromasia, Increased Retic %  ? Irreversibly sickle RBCs and target cells (increased  after autosplenectomy).   ? Howell-Jolly bodies due to asplenia.Q 74."
In sickle cell anemia all are true except,Ans. (a) Plasmodium falciparum,(Ref: Robbins 9th/pg 635-636; 8th/pg 645-646; Wintrobe?s 12th/ pg 1038) Person having heterozygous sickle cell trait is protected  from infection of Plasmodium falciparum Mechanism by which patients with sickle cell trait are  protected against Malaria:  ? Preferential sickling of parasitized cells has been seen  in the blood of children with sickle cell trait & malaria.  ? Selective removal of sickled cells from the circulation  probably reduces the degree of parasitemia and  substantially limits the infectious process. 75.
Person having heterozygous sickle cell trait is protected from infection of ?,Ans. (d) Neuro psychiatric disturbances,"(Ref: Robbins 9th/pg 941; 8th/pg 952-953) Neuro-psychiatric disturbances are not a feature of  hemolytic uremic syndrome, but may be seen in TTP Chapter 10 ? Red Blood Cells and its Disorders 305 Answers with Explanations 76."
"All are features of haemolytic uremic syndrome, except- a. Hyperkalemia",Ans. (c) Malaria,"(Ref: Wintrobe?s 12th/pg 1084) RBCs with common Hemoglobinopathies (i.e. ‡- &  ?-thalassemias, HbS, HbC, HbE) & enzyme (glucose-6- phosphate dehydrogenase [G6PD]) defects have shown  a reduced parasite invasion/growth and an increased  susceptibility to phagocytosis of the infected RBC as a  malaria-protective effect. 77."
Thalassemia gives protection against-,Ans. (c) Paroxysmal cold hemoglobinuria,"(Ref: Robbins 9th/pg 642; 8th/pg 654) Paroxysmal cold hemoglobinuria:   ? Rare intravascular hemolysis and hemoglobinuria.   ? IgGs AbsQ that bind to the P blood groupQ antigen on  RBC (direct antibody testing positive)are called Donath  Landsteiner AntibodiesQ  ? Binds to RBC?s at a low temperature (optimally at 4¯C),  but when the temperature is shifted to 37¯C, lysis of red  cells takes place in the presence of complement  ? Seen in children following viral infections.Q 78."
Donath Landsteiner antibody is seen in- a. PNH,Ans. (d) Absence of fever,"(Ref: Robbins 9th/pg 941)  ? In both HUS & TTP, there is Microangiopathic hemolytic  anemia, Renal failure & Neurological symptoms.  ? Fever & neurologic findings are seen in TTP, not in HUS 79."
HUS is differentiated from TTP by,Ans. (c) APT test,"(Ref: Oski?s Pediatrics: Principles & Practice, chapter 66; Dacie  11th/pg 307) 80."
Maternal blood from fetal blood can be differentiated by,Ans. (a) Sodium hydroxide,"(Ref: Oski?s Pediatrics: Principles & Practice, chapter 66; Dacie  11th/pg 307) 81."
Reagent used in APT test,Ans. (a) ‡-Spectrin,(Ref: 9th/pg 632-633; 8th/pg 642-643) 82.
Severe Hereditary spherocytosis can be seen due to defect of the following protein,Ans. (c) Fetomaternal blood leak,"(Ref: Oski?s Pediatrics: Principles & Practice, chapter 66; Dacie  11th/pg 307; Refer to Ans 81)  83."
KleihauerBetke test is used to detect,Ans. (a) Single amino acid base substitution,"(Ref: Robbins 9th/pg 635-636; 8th/pg 645-647) This is a case of 16 year old boy presenting with foot ulcer,  recurrent pneumonia and chronic hemolytic anemia. This  history of non-healing ulcer and repeated infection along  with given peripheral smear finding is suggestive of Sickle  cell anemia. Point mutation in 6th codon of ?-globin that  leads to replacement of glutamate by valine residue 84."
"A 16-year-old Afro-American boy presenting with non- healing ulcer of foot with recurrent pneumonia, chronic hemolytic anemia. The peripheral blood erythrocytes showed some RBCs with peculiar appearance. Most likely cause is",Ans. (a) P. falciparum,(Ref: Robbins 9th/pg 635-636)  ? HbA/S heterozygotes (Sickle cell trait) have a 6-fold  reduction in risk of dying from severe falciparum  malaria.   ? Due to impaired parasite growth at low oxygen  tensions and reduced parasitized red cell cyto- adherence.   ? Parasite multiplication in HbA/E heterozygotes is  reduced at high parasite densities. 85.
Person having heterozygous sickle cell trait is protected from infection of,"Ans. (a, b, c, d, e); a. Common in India; b. Change in  ?-globin gene; c. Microcytosis; d. Increased HbF;   e.  Secondary hemochromatosis may occur","(Ref: Robbins 9th/pg 638-642) a.   True Distribution:Q  of ? thalassemia:  ? Mediterranean, Africa, middle-east, Pakistan, India  and South east Asia.  ? In India- SindhQ , Punjab, Gujrat and Bengal have  higher prevalence b.  True Decreased synthesis of ?-globin chains due to  mutation of beta globin gene c. True Marked aniso-poikilocytosis, microcytic  hypochromic RBC?s d.  True Selected survival of HbF cells in thalassemia causes  increased level of HbF in blood  e.  True Repeated transfusion in thalassemia causes Iron  overload leading to Secondary hemochromatosis 86."
True about ?-thalassemia,Ans. (c) Sickle cell anemia,(Ref: Robbins 9th/pg 635-636) Patients of sickle cell anemia may undergo auto- splenectomyQ due multiple infarcts in splenic artery  causes spleen to be reduced to fibrous tissue (splenic  atrophy ? spleen may become non-palpable)Q 87.
Autosplenectomy is seen in,Ans. (c) Aplastic crisis is related to spleen,"(Ref: Robbins 9th/pg 635-636) a.  Fetal Hb persists at high conc in adult life as it is  protective: TRUE; HbF has increased O2 affinity, so  decreases sickling; b.  Co-existant alpha thalassemia is milder disease: TRUE c.  Aplastic crisis is related to spleen: FALSE, as aplastic  crisis is related to Parvovirus B19 infection d.  Sequestration crisis is related to spleen: TRUE, as it is  due to hyperslenism 88."
False about Sickle cell anemia is,Ans. (a) Decreased LDH,"(Ref: 9th/pg 631-632) In hemolytic anemia, there is decreased haptoglobin,  decreased RBC survival, increased unconjugated bilirubin  & Increased LDH.  89."
Which is false about hemolytic anemia,"Ans. (d) After splenectomy, Spherocytes disappear","(Ref: Robbins 9th/pg 632-633; 8th/pg 642-643) Discussing options about HS one by one, a. TRUE, as hemolysis occurs in spleen b. TRUE, as Spectrin/Ankyrin/Band-3 defect is seen in HS c.  TRUE, as RBCs get damaged & deformed in circulation d.   FALSE; After splenectomy, Spherocytes are still  present, but hemolysis of these spherocytes in  spleen is prevented Complete Review of Pathology 306 Answers with Explanations 90."
Which of the following is not true about HS,Ans. (b) Young RBCs are more prone to hemolysis,"(Ref: Robbins 9th/pg 634-635; 8th/pg 644-645) Discussing the options about G6PD deficiency one by one, a.  TRUE; It has X linked recessive: inheritance b.  Young RBCs are more prone to hemolysis: FALSE, rather  younger RBCs are more resistant to hemolysis -  Wintrobe?s 12th/pg 935-937  É As red cells age, the activity of G6PD declines.   É The normal enzyme (G6PD B) has an in vivo half-life  of 62 days  É In contrast, the G6PD variants associated with  hemolysis are unstable and have much shorter half- lives.  É The anemia is self-limited because the old  susceptible population of erythrocytes is replaced  by younger RBC with sufficient G6PD activity to  withstand an oxidative assault. c.  Episodic hemolysis: TRUE, as it occurs only when  exposed to inciting factors like infection & certain drugs; d.  Both intravascular & extravascular hemolysis is seen:  TRUE 91."
Which is false about G6PD deficiency,Ans. (c) Coombs test,(Ref: 9th/pg 643-644; 8th/pg 653-654) A 23-year-old female presented with jaundice and pallor for  2 months. Her peripheral blood smear shows the presence  of spherocytes. This scenario is suggestive of Autoimmune  hemolytic Anemia The most relevant investigation to arrive at a diagnosis is  Coombs test 92.
A 23-year-old female presented with jaundice and pallor for 2 months. Her peripheral blood smear shows the presence of spherocytes. The most relevant investigation to arrive at a diagnosis is,"Ans. (a, b, c); a. Hemolysis; b. Blood loss;   c. Hemoglobinopathy",(Ref: Robbins 9th/pg 631-632) 93.
Reticulocyte index Ú2.5 is/are seen in,"Ans. (b, c); b. Paracetamol; c. Ceftriaxone",(Ref: Robbins 9th/pg 634-635; 8th/pg 644-645) Paracetamol & Ceftriaxone do not carry risk of hemolysis in  persons with G-6-PD deficiency 94.
Drugs that do not carry risk of hemolysis in persons with G-6-PD deficiency,"Ans. (a, b, c, d, e); a. Microangiopathic hemolytic  anemia;  b.  HUS;  c.  Hereditary  schistocytosis;   d. Thrombotic thrombocytopenic purpura; e. DIC","(Ref: Robbins 9th/pg 941) Schistocytes are found in Microangiopathic hemolytic  anemia, HUS, Hereditary schistocytosis, TTP, DIC 95."
Schistocytes are found in,Ans. (c) Ankyrin,(Ref: Robbins 9th/pg 632-633) 96.
Most common cause of hereditary spherocytosis,Ans. (b) G6PD deficiency,(Ref: Robbins 9th/pg 634-635) Heinz bodies are seen in G6PD deficiency 97.
Heinz bodies are seen in,Ans. (a) Hemolytic anemia,(Ref: Robbins 9th/pg 631-632) Unconjugated  hyperbilirubinemia  with  increased  urobilinogen is seen in Hemolytic anemia 98.
Unconjugated hyperbilirubinemia with increased uro- bilinogen is seen in,Ans. (d) Na+ Cl? channel protein,(Ref: R 9th/pg 632- 633) 99.
In hereditary spherocytosis mutation not seen is,Ans. (c) Microspherocytes,(Ref: Robbins 9th/pg 631-632) ABO incompatibility causes immune hemolytic anemia  which is characterized by Spherocytes on peripheral smear 100.
A Newborn with ABO incompatibility will characteristically show the presence of following on peripheral smear,Ans. (c) PNH,"(Ref: Robbins 9th/pg 631-632)  ? The given scenario is suggestive of episodes of hemolysis  since birth, so it is probably due to a hereditary cause.  ? Out of the given options, hereditary spherocytosis,  Sickle cell disease & G6PD deficiency are inherited  causes of hemolytic anemia, so they usually present in  early childhood.  ? PNH is due to an acquired somatic mutation in PIG A  gene, which usually presents in adults. So, PNH is the  least likely diagnosis in this cause.  ? Remember that, Sickle cell disease usually presents  beyond 6 months age, due to high HbF concentration  before that, which prevents sickling 101."
A 5 year old male child presents with episodic jaundice and anemia since birth. Which of the following is least likely diagnosis,"Ans.  (c) ABC   Looking  at the history and HPLC finding, it looks Thalas- semia major which will have severe anisopoikilocytosis,  (slide C) nRBC (slide B) and Howell jolly body (slide A) 102.",No explanation provided.
"A 6-year-old patient with anemia, on electrophoresis shows HbF 90%, Hb A2/=3%. Which of the following will be seen on peripheral smear","Ans. (c) b-Thalassemia trait   This patient has a normal Hb but low MCV. So if you  calculate the Mentzer index= MCV/RBC count, it comes to  9.3, which is less than 13 which is indicative of Thalassemia  trait. 103.",No explanation provided.
"CBC done on a patient who had come for blood transfusion revealed MCV 56fl, Hb 13 gm%, MCHC 32 gm/dl & RDW 14, RBC count 6million/ul a. Sideroblastic anaemia b. b-Thalassemia disease c. b-Thalassemia trait d. Iron deficiency anemia 295 Chapter 10 ? Red Blood Cells and its Disorders Multiple Choice Questions 103. In a patient suffering with sickle cell anemia, eletropho- retic mobility of HbS in relation to HbA will be",Ans. (a) Retarded,"(Ref: Complete review of Pathology 1st /343) Pathogenesis of Sickle cell anemia: Sequence of codon 6 of the Beta-chain changed from GAG  in the normal gene to GTG in the sickle cell gene, resulting  in substitution of valine for glutamic acid Concept: So if you see, the charge of amino acid is changing from  charged (glutamic acid, more negative) to neutral  amino acid (valine), so when we do an electrophoresis , the  mobility of HbS will be lesser than HbA towards Anode  (i.e retarded) (which is positively charged). At alkaline pH; Cathode(?) HbA2 ? HbC ? HbS ? HbF ? HbA Anode (+) 104."
Screening test for thalassemia,Ans. (d) NESTROFT,(Ref: Robbins 9th/pg 638; 8th/pg 648) Screening tests for Thalassemia trait: NESTROFT (Naked  Eye Single Tube Red cell Osmotic Fragility Test)Q assesses  osmotic fragility of red cells at a single concentration of buffered  saline (0.36% in single tube)Q Chapter 10 ? Red Blood Cells and its Disorders 307 Answers with Explanations 105.
Bart hemoglobin is tetramer of,Ans. (c) ? chain,(Ref: Robbins 9th/pg 638; 8th/pg 648) 106.
Hemoglobin H disease is caused by deletion a. Single ‡ globin chain,Ans. (c) Three ‡ globin chains,"(Ref: Robbins 9th/pg 638) Classification of ‡-thalassemia:  ? Normally 4 ‡-genes synthesize: 2 ‡ chains ? ‡,‡/‡,‡  ? Most common cause of ‡-thalassemia is ‡-gene  deletion (frame-shift mutation)Q 107."
All the following features precipitate sickling of HBS except,Ans. (d) Alkalosis,(Ref: Robbins 9th/pg 635; 8th/pg 645) 108.
Autosplenectomy is seen in,Ans. (b) Sickle cell anemia,(Ref: Robbins 9th/pg 635) Multiple infarcts in splenic artery causes spleen to be reduced  to fibrous tissue referred to autospnectomy (splenic atrophy ?  spleen may become non-palpable) 109.
Sickle cell disease is less severe in,Ans. (d) All the above,(Ref: Robbins 9th/pg 635; 8th/pg 645) 110.
"A young adult presents with history of bone pains, recurrent chest infections and dyspnea. Peripheral blood smear shows.",Ans. (c) Sickle cell anemia,(Ref: Robbins 9th/pg 635) 111.
In HbM the position of point mutation,"Ans. (b) ‡ chain, 87th codon, Histidine ? Tyrosine",(Ref: Wintrobes 12th ed 1060-1070)  ? M (met) hemoglobins are characterized by heme-iron  oxidation and result in cyanosis.  ? HbM Iwate (HBA 87th position his ? tyr) 112.
Mutation in sickle cells disease is an example of a. Silence mutation,Ans. (b) Missense mutation,(Ref: Robbins 9th/pg 635) 113.
"In ‡-thalassemia, HbBarts is said when number of gene loci affected is",Ans. (d) 4,(Ref: Robbins 9th/pg 638; 8th/pg 648) 114.
"25/f came to OPD with anemia, jaundice and joint pain. Which of the following statements is not true about the condition",Ans. (d) HbF and HbA2 will be undetectable,"(Ref: Wintrobes 12th ed p 1062) The given peripheral blood picture shows sickle cells.  Pulmonary syndrome & retinopathy are complications of  Vaso-occlusive crises. Hydroxyurea increases HbF levels  and so is used for treatment. HPLC diagnosis suggests  increase in HbS, HbA2, and HbF while Hb A is decreased. 115."
"Boy born to mother who is O-ve has blood group B+ve. He developed jaundice on day 1, Peripheral blood smear is given, which cell is absent",Ans. (a) Sickle cell,"(Ref: Robbins 9th/pg 635; 8th/pg 645) The given scenario is of Rh incompatibility resulting in  Hemolytic disease of newborn. The RBC morphology  shows anisopoikilocytosis, polychromasia, target RBCs  and Schistocytes. 116."
All are seen in sickle cell anemia EXCEPT,Ans. (d) High hematocrit,"(Ref: Robbins 9th/pg 635-636) In sickle cell anemia: Target cells, Jaundice & Reticulocytosis  are seen But hematocrit is low (not high), as it is an anemia 117."
Heterozygous sickle cell anemia gives protection against,Ans. (b) Malaria,(Ref: 9th/pg 635-636; 8th/pg 645-647) 118.
HbH is associated with,Ans. (a) Deletion of 3 alpha genes,(Ref: 9th/pg 638-642) 119.
NESTROFT test is used in screening of - a. Thalassemia,Ans. (a) Thalassemia,(Ref: Robbins 9th/pg 638-642; 8th/pg 648-652) 120.
Which of the following tests is gold standard to diagnose a case of PNH,Ans. (c) Flow cytometry,"(Ref: Robbins 9th/pg 643)   PNH is diagnosed by flow cytometry, which provides a  sensitive means for detecting red cells that are deficient in  GPI-linked proteins such as CD59 & CD55 121."
CD59 deficiency leads to,Ans. (a) PNH,(Ref: Robbins 9th/pg 642) 122.
An abnormal Ham test is most likely associated with which of the following,Ans. (b) Defective GPI anchor,"(Ref: R 9th/pg 642-643) An abnormal Ham test is seen in PNH, which is due to  defective GPI anchor 123."
PNH is associated with a deficiency of,Ans. (d) All of the above,"(Ref: Robbins 9th/pg 642-643) PNH is associated with a deficiency of DAF (CD55),  MIRL (CD59) & GPI anchored protein 124."
Mutation of which of the following gene is most important in paroxysmal nocturnal hemoglobinuria a. Decay accelerating factor,Ans. (c) Glycosyl phosphatidyl inositol,(Ref: Robbins 9th/pg 642-643; 8th/pg 652-653) 125.
Schistocyte is/are found in,"Ans. (a, b, d);  a. TTP; b. DIC; d. March Hemoglobinuria",(Ref: Robbins 9th/pg 631-632) 126.
Warm antibody hemolytic anemia is seen in,Ans. (a) Methyldopa,(Ref: Robbins 9th/pg 643-644) Drugs causing warm Ab type Autoimmnue Hemolytic  Anemia:  ? Antigenic typeQ: penicillin and cephalosporins  ? Innocent bystander type (Immune complex type):  Penicillin  ? Tolerance-breaking: Alpha methyl dopaQ 127.
Which of the following is the best indicator to assess iron deficiency anemia,"Ans. (d) TIBC increased, Ferritin reduced, Transferrin  saturation reduced, Serum transferrin receptors  increased",(Ref: Robbins 9th/pg 659) 128.
Hepcidin inhibits the function of which of the following,Ans. (d) Ferroportin,(Ref: Robbins 9th/pg 659) Hepcidin is a regulator of iron metabolism. Hepcidin  inhibits iron transport by binding to the iron export  channel ferroportin which is located on the basolateral  surface of gut enterocytes and the plasma membrane of  reticuloendothelial cells (macrophages). 129.
Iron enters enterocyte by,Ans. (a) DMT-1,"(Ref: Robbins 9th/pg 659) The DMT1 protein, also known as Nramp2, SLC11A2,  and DCT1, conducts iron transport at two distinct  compartments of the cell: (1) It facilitates iron uptake at the  apical cell membrane in for instance duodenal enterocytes  (2) It transports iron across erythroid precursors in the  bone marrow Complete Review of Pathology 308 Answers with Explanations 130."
Hypoproliferative anemia,Ans.  (a) Anemia  of  chronic  inflammation;  (b)  Anemia due to chronic renal disease; (c) Iron  deficiency anemia; (d) Myelodysplastic syndrome,"(Ref: Robbins 9th/pg 659) Anemias of Decreased Erythropoiesis: Important  Examples are:  ? Iron deficiency anemia, Folic acid and B12 deficiency  anemia, vitamin C, Copper and Zinc deficiency. ACD,  MDS, Aplastic and pre red cell aplasia 131."
Which of the following is/are lower in anaemia of chronic diseases as compared to iron deficiency anaemia,Ans. (a) TIBC (Total iron binding capacity) 132.,No explanation provided.
Microcytosis on peripheral blood smear is/are seen in,"Ans. (a, b, c) a. Iron deficiency anemia; b. Thalassaemia;  c. Sideroblastic anemia 133.",No explanation provided.
Differential diagnosis for microcytic anemia is,Ans. (a) Lead poisoning (b)Sideroblastic anemia   (c)Occult blood loss (d) Atransferrenemia   All 4 will cause microcytic anemia hypochromic 134.,No explanation provided.
All decrease in iron deficiency anemia except,"Ans. (b) TIBC   Transferrin is quantified in terms of the amount of iron it will  bind, a measure called the total iron-binding capacity (TIBC;  In the average subject, the plasma iron concentration is ?(100  ?g/dl), and the TIBC is ?(300 ?g/dl).    Serum iron concentration is reduced in iron deficiency,  and the TIBC is often increased 135.",No explanation provided.
Which of these is not involved in iron metabolism,Ans. (c) Transthyretin,"(Ref: Wintrobes 14th/p 813)   Ceruloplasmin acts as an oxidase for a variety of substrates,  one of which is ferrous iron . There is evidence that  ceruloplasmin is required for the optimal mobilization of  iron from cells to plasma. 136."
Which of the following would be the findings of sideroblastic anemia,"Ans. (a, c, d) a. Coarse basophilic stippling in lead  poisoning;  c.  Dimorphic  anaemia;  d.  Increase  transferrin saturation   Findings in sideroblastic anemia: Serum Iron: High;  Increased ferritin levels; Normal total iron-binding  capacity; High transferrin saturation, MCV is usually normal  or low. lead poisoning will show coarse basophilic stippling  of red blood cells on peripheral blood smear. Specific test:  Prussian blue stain of RBC Erythroid hyperplasia is found  on bone marrow examination 137.",No explanation provided.
Which of the following is accurate regarding the internal iron homeostasis in iron deficiency anemia,Ans. (a) Transferrin receptor 1 - iron responding  elements  increases  transferrin  receptor  mRNA  concentration and synthesis 138.,No explanation provided.
Which of the following are true regarding a child with iron deficiency anaemia,Ans. (c) Increased TIBC 139.,No explanation provided.
Following are causes of megaloblastic anemia except,Ans. (c) Lead toxicity   In megaloblastic anemia there is defect in DNA synthesis  lead toxicity causes iron deficiency anemia 140.,No explanation provided.
Match List-I with List-II and select the correct answer using the code given below the Lists,Ans. (c) 4 1 2 3,(Ref: Robbins 9th/pg 643) 141.
