Questions,Answers
" Question 2.   All but which of the following are  clinical manifestations / complications of VWD  in females ?  A.  Iron deﬁ ciency anemia    B.  Increased rate of gynecological surgical  interventions ( dilatation and curettage , ",D 
 Question 3.   What would you advise ?  A.  Trial  of  intranasal  desmopressin  ( IN - DDAVP )    B.  Tranexamic acid ( Lysteda TM )  1.3 g po tid  ﬁ rst 3 days of menses    C.  Mirena IUD    D.  Estrogen - containing oral contraceptive ( OC )    E.  Plasma - derived VWF-containing FVIII  concentrate ,A 
" Question 4.   In your advisement regarding  pregnancy in this type 1 VWD patient ,  which  of the following statements is correct ?  A.  The bleeding score predicts the risk of  postpartum hemorrhage ( PPH ).    B.  The VWF levels can begin to fall 3 days  postpartum placing the patient at risk of  postpartum hemorrhage.    C.  DDAVP  use  in  peripartum  is  contraindicated   D.  There is increased risk of miscarriage in  type 1 VWD.",B 
"   Question 5.   Patients with type 1 VWD usually  should not be cleared for epidural analgesia , ",False 
 Question 6.   Choose the typical mild / moderate  adverse reaction that is associated with a  related severe adverse reaction of DDAVP :  Common mild to  moderate adverse  reaction   Most likely severe adverse  reaction   A. ,C 
" Question 7.   Prior to the surgery ,  all the fol- lowing should be on the “ checklist ”  except :  A.  Arrange for overnight stay.    B.  Arrange for CBC ,  VWF levels, and basic  metabolic panel for postoperative day 1.    C.  Arrange for infusion of VWF / FVIII con- centrate 1 h preoperatively.   D.  Obtain insurance approval for post-  discharge EACA for 10 – 14 days. ",C 
 Question 8.   How would you dose the  VWF / FVIII concentrate ?  A.  VWF level to 50 %  immediately preop and  then 25 %  postoperatively for 5 – 7 days    B.  VWF level to 100 %  immediately preop  and then 75 – 100 %  for 24 – 48 h postopera- tively followed by 50 %  for 5 – 7 days total    C.  VWF level to 100 %  immediately preop  and then 75 – 100 %  for 24 – 48 h postopera- tively followed by 50 %  for 10 – 14 days total   D.  VWF level to 200 %  immediately preop  and then 100 – 200 %  for 24 – 48 h postopera- tively followed by 100 %  for 5 – 7 days total    E.  VWF level to 200 %  immediately preop  and then 100 – 200 %  for 24 – 48 h postopera- tively followed by 100 %  for 10 – 14 days  total ,B 
 Question 9.   This patient would beneﬁ t from  all but which of the following measures :  A.  VWF / FVIII concentrate prophylaxis TIW    B.  Course of ledipasvir - sofosbuvir    C.  Digital capsule endoscopy   D.  Total elbow arthroplasty    E.  Mirena IUD  P.A. Kouides  307,D 
 Question 10.   She is scheduled to undergo  radial resection of the ulna. All of the follow- ing preoperative tests should be drawn except :  A.  Protime    B.  Fibrinogen    C.  CBC   D.  Inhibitor screen    E.  Iron panel ,D 
 Question 1.   A 63-year-old man presents to the  emergency room after a mechanical fall and com- plains of left hip pain. He is found to have a left   M.  Al  Harthy ,C 
 Question 2.    A 23-year-old woman is evaluated  in the clinic for heavy menstrual bleeding. She  has menorrhagia since menarche and expresses  concern that her symptoms are signiﬁ cantly  impacting her quality of life. She has also been  trying to conceive for the past 2 months. Her past  medical history is signiﬁ cant for gastritis for  which she is on a proton pump inhibitor. Her fam- ily history is signiﬁ cant for a father with moderate  hemophilia. She has tried desmopressin and com- bination oral contraceptives without a signiﬁ cant  improvement in her menstrual bleeding.   What would be a reasonable next agent to  use in the management of her condition?   A.  Tranexamic acid    B.  Hysterectomy    C.  Low-dose progestin-only oral contraceptive   D.  Naproxen ,A 
 Question 3.   The patient described in Question 2  is prescribed tranexamic acid 1.3 g orally three  times daily for 5 days of bleeding during each  menstrual cycle. You review the side effects with  her prior to starting therapy.   Which of these most-likely and least-likely  combination answers is correct?   Most likely   Least likely   A. ,B 
"Question 1. A 30-year-old man with severe hemophilia A resulting from a three nucleotide deletion in the C1-coding region of the F8 gene has questions about the prospect of gene therapy. He has been infusing prophylactic factor VIII (FVIII) two to three times per week since the age 15 after having developed a history of 12�16 hemorrhages per year (6�9 into joints) while treating only episodically. He has no personal or family history of a FVIII inhibitor and is hepatitis B surface antigen negative and hepatitis C anti body negative. After discussing risks and benefits   of potential gene therapy strategies, the patient 
and his wife state that they wish to start a family 
soon. They have particular worries about any 
approach that might lead to gene therapy vector 
distributing into semen or sperm. 
Which of the following strategies to deliver 
the   F8   gene would have the least risk of gene 
therapy vector distributing into gonads, 
sperm, or semen? ",C 
Question 2. Which is an essential element in the construction of a gene delivery vector? A. B. C. D. 3 ? (Carboxy-terminal) regulatory element including a promoter Rev (reverse transcriptase) gene Therapeutic transgene sequence All of the above,C 
"Question 3. You are designing a gene therapy strategy. Your target cell type does not divide rapidly; nevertheless, you want to make cer tain that your therapeutic gene is integrated into the target cell genomic DNA. Which of the following gene delivery strategies is likely to most effi ciently accomplish your goals? A. B. C. D. E. Gamma-retrovirus vector Adenovirus vector Adeno-associated virus vector Lentivirus vector Plasmid DNA",D 
Question 4. Which of the following gene delivery strategies has led to persistent partial correction of factor IX defi ciency in a human clinical trial? A. B. Direct intramuscular injection of AAV sero type 2 to direct expression of factor IX Systemic administration of lentiviral vector to direct expression of factor IX C. Direct intrahepatic infusion of AAV serotype 2 to direct expression of factor IX D. Systemic administration of AAV serotype 8 to direct expression of factor IX E. Delivery of a DNA nuclease to create a DNA strand break and �edit� the underlying factor IX gene defect by inserting correct factor IX gene sequence at the F9 locus on the X chromosome,D 
"Question 5. Initial vectors designed for clini cal factor IX gene delivery to the liver were based upon the wild-type AAV2 virus, which is a single-strand (ss) DNA virus for which humans are the natural host. Which of the fol lowing are potential limitations for ssAAV2 gene delivery to the liver?A.  
  Systemically delivered ssAAV2 demonstrates 
biodistribution into a wide variety of tissues 
and transduction in the liver is typically lim
ited to less than 10 % of hepatocytes.   
  
 B.    AAV2 infection causes a constellation of 
symptoms including rash, upper airway con
gestion, cough, and occasional pyuria.   
  
 C.    Circulating antibodies that neutralize AAV2 
infection have been found in 35�55 % of 
adults in several studies.   
   D.  
  A and C.   
  
 E.    All of the above.",D 
Question 6. Which of the following gene delivery strategies have led to persistent par tial correction of factor VIII defi ciency in a human clinical trial? A. Factor VIII gene transfection of autologous f i broblasts followed by expansion and reim plantation of FVIII-expressing cells B. Systemic infusion of retroviral vector expressing factor VIII P.E. Monahan and Y.L. Abajas 328 C. �Gutless� adenovirus delivery of therapeutic factor VIII transgene D. Adeno-associated virus serotype 8 delivery of codon-optimized factor VIII transgene E. None of the above,E 
"Question 7. Which of the following state ments in regard to gene therapy for von Willebrand disease is correct? A. Of the subtypes of von Willebrand disease (VWD type I, II, or III), type I VWD is the most obvious application for gene therapy, because type I VWD is the most prevalent. B. The development of gene therapy for VWD has fewer obstacles than gene therapy for hemophilia A, because the size of the VWF gene is more amenable to packaging in viral vectors. C. Restricting expression of transgenic VWF to the liver using liver-specifi c promoters dimin ishes the long-term expression of systemi cally delivered VWF gene sequences. D. None of the above. E. All of the above",D 
"Question 8. Which of the following state ments regarding current approaches to Glanzmann thrombasthenia (GT) and Bernard-Soulier syndrome (BSS) is correct? A. Successful correction of platelets in GT and BSS requires that the ITGA2B and ITGB3 genes be expressed using ITGA2B and ITGB3 promoters, whereas correction of BSS requires expression of GPIBA from the GPIBA promoter. B. AAV8 vectors have led to phenotypic correc tion GT and BSS in human clinical trials. C. Following ex vivo ITGA2B gene delivery to CD34+ HSCs, bone marrow conditioning is required prior to autologous cell transplant. D. The main indication for gene therapy in GT is to eliminate pre-formed anti-? IIb ? 3 alloantibodies. E. None of the above.",D 
" Question 1.   How common are these coagula- tion abnormalities in critically ill patients and  are they relevant?   A.  Not very common (<10 % of consecutive ICU  cases).      B.  They occur quite common but are usually not  relevant.    C.  They occur quite common and may be of  relevance.   M.  Levi ,  MD ",C 
 Question 2.   What is the less likely cause  of thrombocytopenia?   A.  Sepsis    B.  Disseminated intravascular coagulation    C.  Heparin-induced thrombocytopenia ,C 
 Question 3.   What is the most likely cause  of the prolonged PT and aPTT in this setting?   A.  Vitamin K deﬁ ciency    B.  Disseminated intravascular coagulation    C.  Hemophilia A ,B 
" Question 4.   A diagnosis of DIC secondary to  sepsis is thought to be most likely. Indeed, DIC  may complicate sepsis in case of:   A.  All types of severe infection and systemic  inﬂ ammation    B.  Gram-negative septicemia only    C.  Gram-positive septicemia only ",A 
" Question 5.   Does this patient need a platelet  transfusion?   A.  No, I would only do this if the platelet count  is <50 × 109/l and the patient is bleeding.    B.  Yes, there is a high bleeding risk.    C.  No, I would only do this if the platelet count  is <10 × 109/l. ",A 
" Question 6.   Would you treat this patient with  fresh frozen plasma or coagulation factor  concentrate?   A.  No, unless the patient needs to undergo an  invasive procedure.    B.  Yes, I would give ﬁ brinogen concentrate.    C.  Yes, I would give 3–4 U of FFP. ",A 
 Question 7.   What type of supportive treat- ment should be considered?   A.  Activated protein C    B.  Heparin prophylaxis    C.  Antithrombin concentrate ,B 
"Injury and Trauma-Associated  Acute Coagulopathy   A 22-year-old woman involved in a head-on  motor vehicle collision is brought to a level 1  trauma center following a difﬁ cult extraction.  She has multiple contusions and visible fractures  in her right clavicle, forearm, and ankle, but no  obvious penetrating injury. Her pulse is 130 per  minute; blood pressure (BP) is 80/40 with normal  bilateral breath sounds. A focused abdominal   sonography for trauma (FAST) exam reveals free 
f
 l uid in her upper abdomen, and her pelvis is 
unstable. 
  Question 1.   Appropriate initial resuscitation 
efforts include: 
    A.  
  Placing an IV line and observing   
B.    Placing an IV line and giving a 500 cc NS 
f
 l uid challenge   
C.    Placing two large bore peripheral IV lines (14 
gage catheters) and giving 2 L of crystalloid 
f
 l uid, preferably neutral Ringer�s acetate   
D.    Placing a large bore central catheter and initi
ating resuscitation with universal donor blood 
products through a blood warmer ",D 
" Question 2.   What is the signiﬁ cance of her  admission platelet count of 140,000/mcL?   A.  It is almost normal.    B.  It is greater than 50,000/mcL, so she should  be ﬁ ne in general abdominal surgery.    C.  It is greater than 100,000/mcL, so she should  be ﬁ ne in trauma surgery.   D.  It is likely to drop by 100,000/mcL in the ﬁ rst  hour after admission and if allowed to fall to  less than 50,000/mcL carries a very high risk  of mortality. ",D 
 Question 3.   What is the mortality rate of grade  V liver injury according to best reported series?   A.  50 %    B.  25 %    C.  12 %   D.  6 % ,D 
"Blood Components in Resuscitation  of Infants   A 6-month-old infant was evacuated from a  regional disaster with a large actively bleeding  scalp laceration overlying a right occipitopari- etal skull fracture. Admission laboratory values  included a Hct of 11 %, platelets of 300,000/ mcL, prothrombin time of 29 s (nl = 12) and a  partial thromboplastin time of 88 s (nl = 30),  and a  ﬁ brinogen concentration of 50 mg/dL  (nl = 200 to 400 mg/dL). The child appears to  have both profound anemia and the acute coagu- lopathy of trauma.   Table 1   Composition of administered blood when components made by the platelet-rich plasma method are given in  ﬁ xed ratios   Administered blood component  ratio plasma/WBDPlt/RBC   Plasma as a % of  administered  extracellular ﬂ uid (%)   Plasma clotting  time measured as  INR and PTT a (s)   Platelet count  corrected for  usual 70 %  recovery   Hematocrit in  administered ﬂ uid  (%)   1:1:1   65   1.31/42   62,000   29   1:1:2   52   1.55/50   41,000   38    A WBDPlt is a whole-blood-derived platelet unit, typically containing 55+ billion platelets in 40 ml of plasma and  10 mL of anticoagulant and equivalent to 1/6th of an apheresis platelet unit containing 300+ billion platelets in 300 mL  of plasma and anticoagulant   a INR and PTT data from Kornblith et al.  2014   100 90 80 70 60 50 In-hospital motrality % 40 30 20 10 0 INR <1 1–1.2 Blunt injury Penetrating injury Admission INR 1.3–1.4 1.5–1.7 1.8–2.2 INR >2.2  Fig. 1   Admission INR and mechanism of injury as pre- dictors of in-hospital mortality in trauma patients admit- ted directly from the scene of injury and with severe or  profound injury indicated by an injury severity score >15  as observed at the University of Maryland Cowley Shock  Trauma Center in calendar years 2000–2006 ( N = 5,605).  There was no plasma INR that was a minimum discrimi- nant transfusion trigger (Hess et al.  2009 )    Trauma-Associated Coagulopathy  364  Question 4.   What is the correct method of  resuscitation in an infant?   A.  Follow the pediatrician’s orders.    B.  Follow the surgeon’s orders.    C.  Follow the anesthesiologist’s orders.   D.  Have a well-thought-out and practiced pedi- atric massive transfusion protocol agreed  upon by all parties in advance. ",D 
" Question 5.   What is the appropriate transfu- sion trigger for platelets in an infant?   A.  Platelets in infants work less well than  in adults and should be maintained above  50 K/mcL     B.  Infants at increased risk for head bleeding  should be kept above 100 K/mcL.    C.  New data suggest that the critical platelet  transfusion threshold in head injury may be  75 K/mcL.    D.  In this infant who bled as his platelet count  fell from 300,000/mcL to 122 K/mcL, one can  imagine that some count higher than 122,000/ mcL might be the appropriate trigger.  ",D 
Products and Urgency of Treatment   A 57-year-old transport worker in a small remote  city was crushed at waist level between a forklift  and a concrete loading dock. He was released and  fell but rapidly evolved from agitated to poorly  arousable to unconscious. Emergency medical  technicians (EMTs) moved him to a body board  but thought his pelvis and thighs were unstable  and noted increasing shock. He was placed  supine in a pelvic binder and head down. In the  helicopter he was given two units of O-negative  RBCs and two units of group A low-titer B liquid  plasma and arrived at the regional trauma center  with a BP of 70/40 mmHg.   Question 6.   Prehospital administration of  blood products by paramedics is:   A.  Of unproven value    B.  Highly wasteful of rare universal donor  components      C.  Delays required care   D.  Lifesaving ,D 
 Question 7.   Appropriate treatment includes:   A.  Pelvic packing    B.  Resuscitative endovascular balloon occlusion  of the aorta (REBOA).    C.  Prompt repair or bypassing of the right iliac  artery tear   D.  Right iliac artery embolization proximal to  the bleed    ,C 
 Question 8.   Appropriate timing for his frac- ture repair is:   A.  Now    B.  In 5 days    C.  In 2 days   D.  In 4 weeks  Trauma-Associated Coagulopathy  366,A 
 Question 1.   What hemostatic complication  has most likely occurred in this patient?   A.  Thrombotic thrombocytopenia purpura    B.  APL-associated disseminated intravascular  coagulation  (DIC)  [APL-associated  coagulopathy]    C.  Fulminant hepatic failure   D.  Immune-mediated thrombocytopenia ,B 
" Question 2.   What is the  most appropriate  next  step in the management of the patient?   A.  Immediate administration of unfractionated  heparin.    B.  Immediate administration of all-trans- retinoic  acid (ATRA).    C.  Administration of cryoprecipitate, fresh fro- zen plasma, and platelets.    D.  No immediate intervention; schedule a rou- tine bone marrow biopsy. ",B 
" Question 3.   What is the correct paring of labo- ratory parameters and target values for replace- ment in current APL consensus guidelines?   A.  Platelets >30 × 10 9 /L, ﬁ brinogen >100 mg/dL    B.  Antithrombin activity >100 %, platelets  >100 × 10 9 /L, INR <1.5    C.  Ferritin <336 mcg/L, platelets >75 × 10 9 /L,  HB >8.0 g/dL    D.  INR <1.0, thrombomodulin <10 g/dl, HB  >7.0 g/dL ",A 
" Question 4.   On day 5 of ATRA therapy, our  patient develops shortness of breath and hypoxia.  A chest X-ray demonstrates diffuse bilateral pul- monary inﬁ ltrates. Pertinent laboratory values  include a temperature of 39.4 °C, WBC of 40.5,  and serum creatinine of 3.5. Her bleeding param- eters demonstrate worsening with prolonged ooz- ing from venipuncture sites.   What is the most appropriate diagnosis of  the current patient scenario?   A.  Tumor lysis syndrome    B.  Hemophagocytic lymphohistiocytosis    C.  ATRA-induced differentiation syndrome   D.  Diffuse alveolar hemorrhage ",C 
 Question 5.   What is the incidence range of  thrombosis in adults receiving L-asparaginase  as part of their combination chemotherapy?   A.  Less than 2 %    B.  Two percent to 40 %    C.  Forty-one percent to 65 %   D.  Greater than 65 % ,B 
Question 6. Which thromboprophylaxis strategy is recommended by current consen sus guidelines when choosing to administer thromboprophylaxis during L-asparaginase therapy? A. Low-molecular-weight antithrombin B. Antithrombin alone heparin C. Low-molecular-weight heparin alone D. All of the above and,D 
 Question 7.   Which is the correct pairing of  and threshold values for replacement of anti- thrombin and ﬁ brinogen recommended by  current consensus guidelines?   A.  Antithrombin activity <80 % and ﬁ brinogen  <150 mg/dL     B.  Antithrombin activity <40 % and ﬁ brinogen  <100 mg/dL     C.  Antithrombin activity <60 % and ﬁ brinogen  <50 mg/dL    D.  Antithrombin activity <100 % and ﬁ brinogen  <200 mg/dL    ,C 
 Question 8.   The  next test  to be performed for  the evaluation of her erythrocytosis is:   A.  JAK2 V617F mutation analysis    B.  Bone marrow aspiration and biopsy    C.  Serum erythropoietin level   D.  HB electrophoresis    E.  Both A and C ,E 
" Question 9.   Her EPO level is suppressed and  she has the  JAK2 V61F mutation. A diagnosis  of PV is made. The most appropriate manage- ment to reduce the risk of recurrent thrombo- sis in this patient is:   A.  Phlebotomy alone    B.  Phlebotomy and aspirin    C.  Phlebotomy and cytoreduction with busulfan   D.  Phlebotomy, aspirin, and cytoreduction with  hydroxyurea ",D 
 Question 10.   This patient should NOT receive  which of the following :  A.  Aspirin    B.  Cytoreduction therapy with hydroxyurea    C.  Cytoreduction therapy with Interferon   D.  Cytoreduction therapy with anagrelide ,A 
" A 25-year-old woman presents to your 
clinic with an established diagnosis of essential 
thrombocytosis. She has a platelet count 
<1000 � 10 9 /L,  reports no bleeding or history of 
venous thrombosis, is not taking contraceptives 
and has no additional risk factors for thrombosis Question 1.   What is true regarding the use of  low-dose aspirin therapy in this patient?   A.  She must be on aspirin.    B.  It is a physician-dependent decision on the  basis of Physician preference and values  associated with the still-inconclusive avail- able evidence.     C.  It might be important to know the results of  JAK-2 mutation status.   D.  All of the above. ",B 
A 35-year-old male with low-risk essential thrombocythaemia and platelet count ?1000 � 10 9 /L presents to your offi ce for second opinion. Queston 2. Should this patient be on aspirin therapy? A. N o B. Check ristocetin cofactor activity C. Reduce platelet count ?1000 � 10 9 /L as soon as possible and start aspirin if deemed neces sary based on clinical or haematological considerations,C 
" A 45-year-old male with polycythemia 
vera presents with fi rst episode of unprovoked 
deep vein thrombosis. He has no family history 
of venous or arterial thrombosis.   Question 3.   Which statement is true?   A.  The incidence of venous thromboembolism  (VTE) is between 10 and 20 % per year.    B.  The duration of anticoagulation therapy is  uncertain.      C.  The risk of bleeding with anticoagulation is  not increased in PV.   D.  Aspirin alone should be sufﬁ cient if patient  was not already on it.  Unmet Clinical Needs of Antithrombotic Treatment in BCR/ABL-Negative Myeloproliferative Neoplasms  384",B 
"in Patients with Bleeding Risk   A 58-year-old man with IgG kappa multiple  myeloma is diagnosed with a symptomatic segmen- tal pulmonary embolism on day 15 of autologous  stem cell transplant. Bilateral leg ultrasounds are  negative for deep vein thrombosis (DVT). He has  mild to moderate right-sided chest pain and dys- pnea on exertion. His EKG is normal. His heart rate  is 102 bpm, blood pressure is 132/78, and oxygen  saturation is 91 % on room air. Renal and hepatic  function is normal. His platelet count is 11,000/uL.   Question 1.   You decide to treat with:   A.  Thrombolysis with tPA    B.  No anticoagulation and placement of an IVC  ﬁ lter    C.  Rivaroxaban 15 mg po bid   D.  Therapeutic low molecular weight heparin    E.  Platelet transfusion and therapeutic low  molecular weight heparin  ",E 
 Question 2.   Which of the following medica- tions are contraindicated (or relatively contra- indicated) with the use of direct factor  inhibitor anticoagulants:   A.  Trimethoprim-sulfamethoxazole    B.  Voriconazole    C.  Tacrolimus   D.  All of the above    E.  Voriconazole and tacrolimus ,E 
"of Splanchnic Vein Thrombosis   A 45-year-old male presents with abdominal pain  and low-grade fever for 48 hours. He has no sig- niﬁ cant past medical history and takes no medi- cations. He is a nonsmoker, drinks 14–20 beers/ week, and denies illicit drug use. There is no  family history of cancers or thrombosis. His  father has hypertension and diabetes. On   presentation, he has tenderness in the abdomen  with palpation of the RUQ and LLQ. His heart  rate is 92 bpm, blood pressure 128/78, and respi- Inhibitors Ketoconazole Ritonavir Cyclosporine Clarithromycin Conivaptan Tacrolimus Lopinavir/ritonavir Indinavir/ritonavir ltraconazole Voriconazole Posaconazole Fluconazole Phenytoin Rifampin Carbamazepine St. John’s wort Inducers Azole antifungals Anti-epileptic drugs Protease inhibitors Immunosuppressive drugsa Other Other  Fig. 35.1   List is compiled from U.S. Food and Drug  Administration and European Medicine Agency approved  package leaﬂ ets. The European Medicine Agency   recommends against concomitant use of dabigatran with  cyclosporine  and  tacrolimus,  which  are  strong  P-glyoprotein inhibitors. There are no published recom- mendations against use of rivaroxaban or apixaban with  this class of drugs     Bleeding and Thrombosis in a Cancer Patient  398 ratory rate 18/min. His temperature is 100.4 F. His  WBC is 12.3 with 86 % neutrophils, HCT is 42.3,  and platelets are 368 K. His liver enzymes and  basic metabolic panel are normal. An abdominal  CT is performed and reveals a portal vein throm- bosis with hepatic edema and bowel wall thick- ening of the distal intestine with a focal abscess.  There is no evidence of cirrhosis, splenomegaly,  or abdominal lymphadenopathy.   Question 3.   In addition to starting antibiotics,  you recommend the following treatment  course for his PVT:   A.  No anticoagulation as the age of the portal  vein thrombosis cannot be determined.    B.  Start therapeutic anticoagulation.    C.  Order EGD to ensure absence of esophageal  varices before starting anticoagulation.    D.  Recommend EGD/colonoscopy to screen for  malignancy prior to initiation of anticoagulation.    E.  Perform thrombophilia testing and plan to  anticoagulate only for a positive ﬁ nding. ",B 
" Question 4.   You start anticoagulation with  LMWH with a plan to bridge to warfarin with  a target INR range of 2.0–3.0. You plan to pur- sue testing for primary thrombophilia. This  testing should include:   A.  Antiphospholipid antibodies only given a  negative family history for VTE    B.  Antiphospholipid  antibodies,  inherited  thrombophilia panel, and JAK2 mutation     C.  Antiphospholipid antibodies and inherited  thrombophilia panel now; a JAK2 mutation if  A.E. Fogerty and J.M. Connors  399 he shows elevated blood counts on his follow-",B 
" Question 5.   You recommend the following  duration of anticoagulation:   A.  3–6 months for a provoked event.    B.  Indeﬁ nite anticoagulation for an unprovoked  event.    C.  Continue anticoagulation until q6-month  imaging reveals complete recanalization of  the portal vein.   D.  Therapeutic anticoagulation for 3–6 months,  followed by prophylactic dose anticoagula- tion until imaging reveals complete recanali- zation of the portal vein.    E.  Therapeutic anticoagulation for 3–6 months,  followed by prophylactic dose anticoagula- tion indeﬁ nitely. ",A 
"in Cancer   A 58-year-old female with ovarian cancer pres- ents 10 days after initial surgical debulking ther- apy for ovarian cancer with abdominal pain,  fever, and anorexia. Her incision sites appear  clean and are without drainage or ﬂ uctuance. Her  temperature is 100.9 F, BP 142/86, HR 105 bpm,  RR 18/min, and O2 saturation 97 % on room air.  Her labs reveal a WBC of 18.9 (77 % PMNs, 5 %  bands, 10 % lymphocyte, 5 % monocyte, 1 %  eosinophil, 2 % basophil), HCT of 30.4 %, and  platelets of 78 K. Her PT is 16.9, PTT is 48.6,  and ﬁ brinogen is 589 mg/dl. D-dimer is 1,340 ng/ mL. She has no evidence for bleeding. She has no  shortness of breath, pleurisy, or leg edema.  Abdominal imaging reveals a ﬂ uid collection  around the surgical bed.   Question 6.   In addition to appropriate antibi- otic therapy, you recommend the following:   A.  Lower extremity ultrasound    B.  Prophylactic heparin therapy    C.  Therapeutic anticoagulation therapy   D.  FFP transfusion to correct prolonged PT/PTT    E.  Use of antiﬁ brinolytic agents ",B 
" Question 7.   The optimal treatment of her  acute DVT is:   A.  No anticoagulation given thrombocytopenia;  place an IVC ﬁ lter until platelets recover to  >100 K.    B.  Therapeutic heparin intravenously, target  PTT, 60–80.    C.  Therapeutic low molecular weight heparin.   D.  Warfarin, target INR, 2.0–3.0.    E.  Rivaroxaban 20 mg po qd. ",C 
"of Oral Anticoagulants (Warfarin  and Direct-Acting Anticoagulants)   A 75-year-old male with a history of atrial ﬁ bril- lation and hypertension, on warfarin for prophy- laxis of stroke (CHADS 2 score 2), had a  colonoscopy 6 months ago when a large polyp  was found. Since he had not discontinued his war- farin at that time and his INR was 2.7, it was  elected to defer the polypectomy. He now pres- ents to his caregiver’s ofﬁ ce for periprocedure  management of this warfarin. He is on a statin but  on no antiplatelet agents. He has not had previous  strokes, congestive heart failure, diabetes melli- tus, or venous thromboembolism. In addition to  interrupting his warfarin, what is the best approach  to management in the periprocedural period?   Question 1.   A.  No bridging required    B.  Bridge with unfractionated heparin    C.  Bridge with low-molecular-weight heparin   D.  Bridge with rivaroxaban ",A 
"of the Patient with Heparin-Induced  Thrombocytopenia   A 68-year-old female requires an elective coro- nary artery bypass grafting procedure (CABG)  for severe coronary artery disease. Five years  ago, she underwent aortic valve replacement  (porcine tissue valve), which was complicated  by the development of postoperative heparin-  induced thrombocytopenia (HIT) but no throm- bosis. Currently, her complete blood count is  normal and no antibodies against heparin/platelet  factor 4 (PF4) are detected by ELISA assay.  What is the most optimal anticoagulant manage- ment strategy for the cardiac bypass?   Question 2.   A.  Bivalirudin    B.  Unfractionated heparin    C.  Low-molecular-weight heparin   D.  Desirudin ",B 
"of the Patient with Congenital  Bleeding Disorder(s)   A 45-year-old male with a history of severe con- genital hemophilia A (factor VIII activity  (FVIII:C) <1 % of normal) has experienced life- long history of recurrent hemarthrosis, especially  in his right knee, which is his target joint. He has  no other chronic medical conditions and has never  developed a factor VIII inhibitor. He continues to  treat his bleeds with recombinant factor VIII (on- demand), and apart from analgesics, he is on no  other chronic medications. The orthopedic sur- geon recommends right total knee arthroplasty  and is asking you to manage his hemophilia.   Question 3.   What is the most optimal method  of managing the patient’s perioperative  hemostasis?   A.  Daily bolus infusions of factor VIII  concentrates      B.  Daily desmopressin infusions    C.  Daily cryoprecipitate infusions   D.  Bolus followed by continuous infusion of  factor VIII concentrates    E.  Daily bolus infusions of recombinant acti- vated factor VII (rFVIIa) ",D 
"of Arterial Thrombosis in Atrial  Fibrillation, Heart Failure, Cardiac  Amyloidosis, and Chagas Disease  with Heart Involvement   A 62-year-old man with a history of AF, hyper- tension, and type II diabetes mellitus underwent  AF ablation a month ago. On 12-lead electrocar- diogram, he is noted to be in normal sinus rhythm.  He denies having recent palpitations, dyspnea, or  chest pain.   Question 1.   Is pharmacologic anticoagulation  for prevention of arterial thrombosis indicated  for this patient?   A.  No, he underwent ablation for AF and is cur- rently in sinus rhythm.    B.  No, his CHADS 2 score is 1, and he should  only be on aspirin therapy.    C.  Yes, his CHADS 2 score is 2, and he should  remain on full-dose anticoagulation indeﬁ - nitely even after successful AF.   D.  Yes, AF ablation does not improve the risk of  thromboembolic disease.    ",C 
" Question 2.   A 65 - year - old Caucasian woman  with type II diabetes mellitus ,  hypertension ,   and hyperlipidemia comes to your ofﬁ ce after  her neighbor had a “ stroke. ”  She is concerned  and wants to know what she can do to reduce  her risk of cerebrovascular accident ( CVA ).  A.  She is high risk for CVA and should start  daily clopidogrel.     B.  She is high risk for CVA and should start  daily aspirin.     C.  She is high risk for CVA and should start  combination daily of aspirin and clopidogrel.     D.  She is low risk for and her risk of major bleed- ing is greater than her risk for ischemic CVA.   ",B 
" Question 3.   A 61-year-old man with a medical  history of hyperlipidemia, severe systolic heart  failure with left ventricular ejection fraction of  23 %, and osteoarthritis presents to your ofﬁ ce  with new-onset palpitations. He is currently tak- ing lisinopril, carvedilol, furosemide, and simvas- tatin. Twelve-lead electrocardiogram is abnormal  and shows AF with a ventricular rate of about 82  beats per minute.   What is the next best step for this patient?   A.  Add a calcium channel blocker.    B.  Start low-dose aspirin as his CHADS 2 score  is 1.    C.  Start warfarin therapy as he has both AF and  severe left ventricular dysfunction.   D.  Obtain a 24-h Holter monitor evaluation. ",C 
" Question 4.   A 57-year-old woman without a  signiﬁ cant past medical history presents with  complaints of dysphagia, progressively worsen- ing dyspnea on exertion, and lower extremity  edema. Transthoracic echocardiogram (TTE)  reveals preserved left ventricular function. Most  notable was echocardiographic evidence of  severe diastolic dysfunction, right and left atrial  enlargement, and left ventricular hypertrophy.  Cardiac MRI suggests cardiac amyloid deposi- tion. Skin fat pad biopsy is positive for AL   amyloid. Serologic tests demonstrate IgG kappa  light-chain monoclonal protein.   What is the next best step in the manage- ment of this patient?   A.  Surgical debulking of amyloid tissue.    B.  Start therapy for AL amyloid and consider  anticoagulation therapy.    C.  Admit to the hospital for plasmapheresis.   D.  Start her on low-dose aspirin. ",B 
